Account,total_pnl,avg_pnl,median_pnl,win_rate,trade_count,avg_size_usd,pnl_std,total_fees,avg_fee_ratio,long_pct,short_pct,avg_sentiment,unique_coins,profit_factor,sharpe,contrarian_ratio,cluster,x,y
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,419.1277684596647,0.0,0.3596123624934521,3818,16159.57673389209,4692.452328769463,7405.312304,9.186662316018837e-05,0.1495547407019382,0.8507071765322158,53.75405971712939,2,216.0921449747138,0.08931955811036993,0.5474070193818753,1,1.3119892611775081,0.25689001575899967
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,6.5776539167582415,0.0,0.4427197802197802,7280,1653.2263269230768,134.07347277629353,2729.83788853,0.0002264533891436131,0.19848901098901098,0.15686813186813187,52.21346153846154,12,17.541452082264833,0.04906006968084803,0.06703296703296703,2,-1.0055660393836696,-1.3680986148810284
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,-18.49204287687057,0.0,0.3019165135206091,3809,8893.000897873459,542.1826592941622,9280.98285,0.00021556246453280088,0.046993961669729585,0.9498556051457075,39.40955631399317,8,-7.589303035723204,-0.034106666009835765,0.18876345497505906,2,-1.8193793272173682,-1.424204774491348
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,9.951529904139434,0.0,0.43858462925400044,13311,507.6269326121253,113.26935264594304,2218.3673664509,0.00044913805168092735,0.44835098790474043,0.32326647133949366,68.77432198933214,94,59.712749365731305,0.08785721531618436,0.4043272481406356,2,-0.8437003035472457,0.1962603623430875
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,52.0710111126891,0.429,0.5199135535659154,3239,3138.894782340228,255.82909123366827,3108.196722,0.0002893290053371519,0.9993825254708243,0.0006174745291756715,61.6674899660389,49,54.262332818327955,0.203538271826673,0.1528249459709787,0,0.9469135796173451,0.7793951987370595
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,-38.28662574969325,0.0,0.45521472392638035,815,1729.9411042944785,558.7787526232372,147.07476338,0.00012761401623684953,0.03803680981595092,0.1950920245398773,43.79754601226994,47,-212.16148351283513,-0.0685183994021842,0.0,2,-1.8736256473178978,-2.267236521229044
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999997,4.0281190682641395,0.0,0.32766787405962666,3589,4790.5754862078575,730.495483644371,1458.65712607,0.00010154130904547685,0.17609361939258847,0.7868487043744776,30.92616327667874,13,9.911115558013748,0.0055142285728698075,0.1284480356645305,2,-1.3085587036238384,-1.4533495673204668
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,161.13327482831323,0.0,0.4759036144578313,332,3445.471265060241,1279.8557881354639,176.274175917,0.00016950934433479758,0.5421686746987951,0.0,65.8855421686747,11,303.48317877366844,0.12589955549840307,0.015060240963855422,1,0.7831598257477227,-0.8096096332957741
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,520.9023308929503,0.0,0.2349869451697128,383,5189.367127937337,2228.336140282739,267.967088979,0.00013999304965087186,0.03655352480417755,0.9086161879895561,53.39425587467363,10,744.5152816793664,0.23376290563902824,0.4308093994778068,1,3.0194510464404463,-1.0115290649228097
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,336.735547567502,0.0,0.48423605497170574,1237,2397.824753435732,1649.4975803457905,747.006931,0.0003086205650590202,0.6386418755052546,0.2603071948261924,53.89894907033145,20,557.614467891731,0.2041443113223063,0.28940986257073564,1,2.2800819143390383,0.12449475847246098
