date,total_pnl,avg_pnl,trade_count,total_volume,avg_size,long_count,short_count,win_rate,sentiment_value,classification,cumulative_pnl,pnl_ma_7
2023-05-01,0.0,0.0,3,477.0,159.0,3,0,0.0,63.0,Greed,0.0,0.0
2023-12-05,0.0,0.0,9,50005.83,5556.203333333334,7,2,0.0,75.0,Extreme Greed,0.0,0.0
2023-12-14,-205.43473700000007,-18.675885181818188,11,113203.35,10291.213636363636,7,4,0.36363636363636365,72.0,Greed,-205.43473700000007,-68.4782456666667
2023-12-15,-24.632033999999997,-12.316016999999999,2,10609.95,5304.975,0,2,0.0,70.0,Greed,-230.06677100000007,-57.51669275000002
2023-12-16,0.0,0.0,3,15348.77,5116.256666666667,3,0,0.0,67.0,Greed,-230.06677100000007,-46.013354200000016
2023-12-17,304.982785,21.78448464285714,14,116278.02,8305.572857142857,14,0,0.5,73.0,Greed,74.9160139999999,12.486002333333317
2023-12-18,0.0,0.0,2,31164.179999999997,15582.089999999998,2,0,0.0,65.0,Greed,74.9160139999999,10.702287714285701
2023-12-19,1000.5386120000001,66.70257413333334,15,91602.41,6106.827333333334,15,0,0.6666666666666666,73.0,Greed,1075.454626,153.63637514285713
2023-12-20,162.732282,9.040682333333333,18,141636.79,7868.710555555556,18,0,0.4444444444444444,74.0,Greed,1238.186908,176.88384399999998
2023-12-21,537.211402,10.963498000000001,49,125233.97,2555.795306122449,49,0,0.5306122448979592,70.0,Greed,1775.39831,282.9761495714286
2023-12-22,141.832675,14.1832675,10,88874.28,8887.428,10,0,0.2,74.0,Greed,1917.2309850000001,306.7568222857143
2023-12-23,146.936704,11.302823384615383,13,78438.25,6033.711538461538,13,0,0.6153846153846154,70.0,Greed,2064.1676890000003,327.74778000000003
2023-12-24,1008.619956,25.862050153846155,39,402954.94,10332.177948717948,32,7,0.38461538461538464,71.0,Greed,3072.7876450000003,428.26737585714284
2023-12-25,-245.081348,-81.69378266666666,3,59948.51,19982.836666666666,3,0,0.0,73.0,Greed,2827.706297,393.25575471428573
2023-12-27,-704.8892269999999,-25.174615249999995,28,171411.06,6121.823571428571,28,0,0.14285714285714285,73.0,Greed,2122.81707,149.6232062857143
2023-12-28,-970.730876,-42.20569026086957,23,100117.25,4352.923913043478,23,0,0.0,73.0,Greed,1152.086194,-12.300101999999972
2023-12-29,508.92214299999995,10.178442859999999,50,569559.72,11391.1944,37,13,0.3,65.0,Greed,1661.008337,-16.341424714285715
2023-12-30,354.998648,6.826897076923077,52,702550.21,13510.58096153846,35,17,0.4423076923076923,68.0,Greed,2016.006985,14.110857142857144
2024-01-01,-129.53146,-7.196192222222223,18,264239.52999999997,14679.973888888888,14,4,0.05555555555555555,65.0,Greed,1886.475525,-25.384594857142854
2024-01-02,783.979116,46.11641858823529,17,121348.74,7138.1611764705885,0,17,0.47058823529411764,71.0,Greed,2670.4546410000003,-57.47614342857144
2024-01-03,866.015507,12.925604582089552,67,394499.36,5888.050149253731,67,0,0.417910447761194,70.0,Greed,3536.4701480000003,101.2519787142857
2024-01-04,-67.60364,-13.520728,5,99792.54000000001,19958.508,5,0,0.0,68.0,Greed,3468.8665080000005,192.29277685714283
2024-01-05,164.141565,2.486993409090909,66,1703942.66,25817.31303030303,42,24,0.19696969696969696,72.0,Greed,3633.0080730000004,354.4174112857142
2024-01-06,135.58166400000002,6.16280290909091,22,298521.4,13569.154545454547,19,3,0.45454545454545453,70.0,Greed,3768.5897370000002,301.0830571428572
2024-01-07,-835.681235,-8.615270463917525,97,1048850.06,10812.887216494846,79,18,0.09278350515463918,71.0,Greed,2932.908502,130.98593099999997
2024-01-08,-269.874439,-2.1083940546875,128,1522452.43,11894.159609375,81,47,0.25,71.0,Greed,2663.034063,110.93693399999997
2024-01-09,-826.349863,-11.804998042857143,70,870051.97,12429.313857142857,50,20,0.2571428571428571,76.0,Extreme Greed,1836.6842000000001,-119.11006300000005
2024-01-10,-1517.091342,-7.860576901554404,193,2057479.48,10660.515440414507,103,90,0.21243523316062177,73.0,Greed,319.5928580000002,-459.55389857142865
2024-01-11,-164.08950099999998,-7.813785761904761,21,305314.1,14538.766666666666,12,9,0.23809523809523808,76.0,Extreme Greed,155.50335700000022,-473.3375930000001
2024-01-12,-1925.519024,-275.0741462857143,7,200082.27,28583.181428571428,7,0,0.0,71.0,Greed,-1770.0156669999997,-771.8605342857144
2024-01-15,152.85358,10.918112857142857,14,50636.1,3616.8642857142854,14,0,0.6428571428571429,52.0,Neutral,-1617.1620869999997,-769.3931177142857
2024-01-16,-2299.171458,-255.4634953333333,9,116427.33,12936.37,9,0,0.3333333333333333,64.0,Greed,-3916.3335449999995,-978.4631495714285
2024-01-17,813.2741110000001,15.344794547169812,53,800831.03,15110.019433962265,28,25,0.20754716981132076,60.0,Greed,-3103.0594339999993,-823.7276424285714
2024-01-18,68.93319,1.4985476086956522,46,424631.52999999997,9231.120217391304,21,25,0.06521739130434782,63.0,Greed,-3034.126243999999,-695.8300634285714
2024-01-19,-385.419235,-8.029567395833334,48,428428.97,8925.603541666665,32,17,0.125,51.0,Neutral,-3419.545478999999,-534.1626195714285
2024-01-20,-146.57487000000003,-1.3827817924528305,106,1070090.51,10095.193490566038,62,44,0.14150943396226415,52.0,Neutral,-3566.120348999999,-531.6605294285714
2024-01-21,266.58114600000005,24.234649636363642,11,103129.74,9375.43090909091,4,7,0.2727272727272727,56.0,Greed,-3299.539202999999,-218.50336228571427
2024-01-22,1375.640959,16.18401128235294,85,337878.99,3975.0469411764707,50,35,0.27058823529411763,55.0,Greed,-1923.8982439999988,-43.81945099999997
2024-01-23,-369.2447299999998,-8.20543844444444,45,414518.93000000005,9211.531777777778,27,18,0.24444444444444444,50.0,Neutral,-2293.1429739999985,231.8843672857143
2024-01-24,-2808.353815,-41.29932080882353,68,965084.59,14192.42044117647,41,27,0.14705882352941177,48.0,Neutral,-5101.496788999999,-285.49105071428573
2024-01-25,-3093.6293849999997,-515.6048975,6,66566.13,11094.355000000001,6,0,0.0,52.0,Neutral,-8195.126173999999,-737.2857042857142
2024-01-26,90.2,18.04,5,11773.21,2354.642,5,0,0.2,49.0,Neutral,-8104.926173999999,-669.3400992857142
2024-01-28,-2478.06972,-225.27906545454545,11,18109.03,1646.2754545454545,11,0,0.0,54.0,Neutral,-10582.995894,-1002.410792142857
