classification,avg_pnl,median_pnl,total_pnl,win_rate,trade_count,avg_volume,avg_fee,pnl_std,sharpe_like
Extreme Fear,34.53786207897196,0.0,739110.24849,0.370607476635514,21400,5349.7318429906545,1.116291305578827,1136.0560914312027,0.030401546490069153
Extreme Greed,67.89286133909282,0.0,2715171.310673,0.46494298859771954,39992,3112.2515645629123,0.6759018169921485,766.8282935916445,0.08853724087448381
Fear,54.2903996254993,0.0,3357155.441642,0.42076750165758364,61837,7816.109930785776,1.495171962969659,935.3554378356772,0.05804253381059298
Greed,42.74355948851957,0.0,2150129.272951,0.38482794266743536,50303,5736.884375086974,1.254372343183673,1116.028389757626,0.03829970624475102
Neutral,34.30771839807886,0.0,1292920.67555,0.3969909250119408,37686,4782.732661465797,1.044798288591806,517.1222197292019,0.0663435394751449
